country,iso_code,year,gdp
Ireland,IRL,2016,299091127524.51
Ireland,IRL,2017,336377500160.55
Ireland,IRL,2018,385736680797.12
Ireland,IRL,2019,399321701632.43
Ireland,IRL,2020,425852281928.12
Ireland,IRL,2021,504182603275.54
Israel,ISR,1990,0.00
Israel,ISR,2000,136035771711.67
Israel,ISR,2012,262282344091.85
Israel,ISR,2013,297732778479.13
Israel,ISR,2014,314330061977.26
Israel,ISR,2015,303414276832.04
Israel,ISR,2016,322102790386.84
Israel,ISR,2017,358245427458.54
Israel,ISR,2018,376691526553.28
Israel,ISR,2019,402470513619.15
Israel,ISR,2020,413267669231.52
Israel,ISR,2021,488526545878.89
Italy,ITA,1990,1181222653522.95
Italy,ITA,2000,1146676894209.73
Italy,ITA,2012,2086957656821.60
Italy,ITA,2013,2141924094298.56
Italy,ITA,2014,2162009615996.54
Italy,ITA,2015,1836637711060.55
Italy,ITA,2016,1877071687633.78
Italy,ITA,2017,1961796197354.36
Italy,ITA,2018,2091932426266.98
Italy,ITA,2019,2011302198827.45
Italy,ITA,2020,1896755301518.14
Italy,ITA,2021,2107702842669.73
Japan,JPN,1990,3132817652848.04
Japan,JPN,2000,4968359075956.59
Japan,JPN,2012,6272362996105.03
Japan,JPN,2013,5212328181166.18
Japan,JPN,2014,4896994405353.29
Japan,JPN,2015,4444930651964.18
Japan,JPN,2016,5003677627544.24
Japan,JPN,2017,4930837369151.42
Japan,JPN,2018,5037835383110.97
Japan,JPN,2019,5123318151510.62
Japan,JPN,2020,5040107754084.11
Japan,JPN,2021,4940877780755.33
"Korea, Rep.",KOR,1990,283367525714.93
"Korea, Rep.",KOR,2000,576178114168.49
"Korea, Rep.",KOR,2012,1278427634342.59
"Korea, Rep.",KOR,2013,1370795199976.18
"Korea, Rep.",KOR,2014,1484318219633.63
"Korea, Rep.",KOR,2015,1465773245547.15
"Korea, Rep.",KOR,2016,1500111596236.37
"Korea, Rep.",KOR,2017,1623901496835.79
"Korea, Rep.",KOR,2018,1724845615629.26
"Korea, Rep.",KOR,2019,1651422932447.77
"Korea, Rep.",KOR,2020,1644312831906.17
"Korea, Rep.",KOR,2021,1810955871380.98
Mexico,MEX,1990,261253582805.95
Mexico,MEX,2000,707906744574.64
Mexico,MEX,2012,1201089987015.45
Mexico,MEX,2013,1274443084716.57
Mexico,MEX,2014,1315351183524.54
Mexico,MEX,2015,1171867608197.72
Mexico,MEX,2016,1078490651625.31
Mexico,MEX,2017,1158913035796.37
Mexico,MEX,2018,1222408203104.30
Mexico,MEX,2019,1269011767478.56
Mexico,MEX,2020,1090515389749.41
Mexico,MEX,2021,1272839334119.30
Nigeria,NGA,1990,54035795387.81
Nigeria,NGA,2000,69448756932.58
Nigeria,NGA,2012,463971000388.61
Nigeria,NGA,2013,520117163617.72
Nigeria,NGA,2014,574183825592.36
Nigeria,NGA,2015,493026782401.56
Nigeria,NGA,2016,404649048648.03
Nigeria,NGA,2017,375745732274.68
Nigeria,NGA,2018,421739210176.15
Nigeria,NGA,2019,448120015209.52
Nigeria,NGA,2020,432198936002.18
Nigeria,NGA,2021,440833583992.49
Netherlands,NLD,1990,318330511920.61
Netherlands,NLD,2000,417479337444.71
Netherlands,NLD,2012,838923319919.53
Netherlands,NLD,2013,877172824534.51
Netherlands,NLD,2014,892167986713.72
Netherlands,NLD,2015,765572770634.38
Netherlands,NLD,2016,784060430240.08
Netherlands,NLD,2017,833869641687.06
Netherlands,NLD,2018,914043438179.61
Netherlands,NLD,2019,910194347568.63
Netherlands,NLD,2020,909793466661.48
Netherlands,NLD,2021,1012846760976.73
Norway,NOR,1990,119791683307.51
Norway,NOR,2000,171247131268.60
Norway,NOR,2012,509506317146.54
Norway,NOR,2013,522761531914.89
Norway,NOR,2014,498410050251.26
Norway,NOR,2015,385801550067.17
Norway,NOR,2016,368827142857.14
Norway,NOR,2017,398393955268.99
Norway,NOR,2018,436999692591.45
Norway,NOR,2019,404941363636.36
Norway,NOR,2020,362198318435.26
Norway,NOR,2021,482174854481.96
Poland,POL,1990,65977749036.98
Poland,POL,2000,172219461126.07
Poland,POL,2012,495236910793.80
Poland,POL,2013,515764728216.16
Poland,POL,2014,539087652559.84
Poland,POL,2015,477111287969.23
Poland,POL,2016,470022572790.91
Poland,POL,2017,524645833884.58
Poland,POL,2018,588782567765.87
Poland,POL,2019,596054591863.31
Poland,POL,2020,599449188399.11
Poland,POL,2021,679444832854.30
Russian Federation,RUS,1990,516814274021.96
Russian Federation,RUS,2000,259710142196.94
Russian Federation,RUS,2012,2208295773643.15
Russian Federation,RUS,2013,2292473246621.08
Russian Federation,RUS,2014,2059241965490.83
Russian Federation,RUS,2015,1363481063446.77
Russian Federation,RUS,2016,1276786979221.81
Russian Federation,RUS,2017,1574199387070.90
Russian Federation,RUS,2018,1657329646183.62
Russian Federation,RUS,2019,1693113904262.89
Russian Federation,RUS,2020,1489362488439.76
Russian Federation,RUS,2021,1778782625793.74
Saudi Arabia,SAU,1990,117630271802.40
Saudi Arabia,SAU,2000,189514926213.33
Saudi Arabia,SAU,2012,735974843348.66
Saudi Arabia,SAU,2013,746647127407.62
Saudi Arabia,SAU,2014,756350347320.38
Saudi Arabia,SAU,2015,654269739552.02
Saudi Arabia,SAU,2016,644935682011.48
Saudi Arabia,SAU,2017,688586094412.68
Saudi Arabia,SAU,2018,816578674529.14
Saudi Arabia,SAU,2019,803616264791.02
Saudi Arabia,SAU,2020,703367841222.56
Saudi Arabia,SAU,2021,833541236569.32
Sweden,SWE,1990,261846194498.89
Sweden,SWE,2000,262835454366.86
Sweden,SWE,2012,552483727282.80
Sweden,SWE,2013,586841821796.89
Sweden,SWE,2014,581964017237.10
Sweden,SWE,2015,505103781349.76
Sweden,SWE,2016,515654671469.55
Sweden,SWE,2017,541018749769.10
Sweden,SWE,2018,555455371487.09
Sweden,SWE,2019,533879529188.45
Sweden,SWE,2020,547054174235.88
Sweden,SWE,2021,635663801201.77
Thailand,THA,1990,85343063965.92
Thailand,THA,2000,126392233706.79
Thailand,THA,2012,397558222957.17
Thailand,THA,2013,420333203150.43
Thailand,THA,2014,407339454060.68
Thailand,THA,2015,401296437425.00
Thailand,THA,2016,413366150655.59
Thailand,THA,2017,456356961443.50
Thailand,THA,2018,506754616189.32
Thailand,THA,2019,544081056184.70
Thailand,THA,2020,499681757030.97
Thailand,THA,2021,505947037098.42
Turkiye,TUR,1990,150676291094.21
Turkiye,TUR,2000,274302959053.10
Turkiye,TUR,2012,880556375779.51
Turkiye,TUR,2013,957783020853.03
Turkiye,TUR,2014,938952628604.07
Turkiye,TUR,2015,864316670330.88
Turkiye,TUR,2016,869692960365.55
Turkiye,TUR,2017,858996263095.86
Turkiye,TUR,2018,778471900960.98
Turkiye,TUR,2019,759937390496.67
Turkiye,TUR,2020,720289368333.19
Turkiye,TUR,2021,819035182929.59
United States,USA,1990,5963144000000.00
United States,USA,2000,10250947997000.00
United States,USA,2012,16253972230000.00
United States,USA,2013,16843190993000.00
United States,USA,2014,17550680174000.00
United States,USA,2015,18206020741000.00
United States,USA,2016,18695110842000.00
United States,USA,2017,19477336549000.00
United States,USA,2018,20533057312000.00
United States,USA,2019,21380976119000.00
United States,USA,2020,21060473613000.00
United States,USA,2021,23315080560000.00
"Venezuela, RB",VEN,1990,48598315565.03
"Venezuela, RB",VEN,2000,117140723529.41
"Venezuela, RB",VEN,2012,381286237847.67
"Venezuela, RB",VEN,2013,371005379786.57
"Venezuela, RB",VEN,2014,482359318767.70
"Venezuela, RB",VEN,2015,0.00
"Venezuela, RB",VEN,2016,0.00
"Venezuela, RB",VEN,2017,0.00
"Venezuela, RB",VEN,2018,0.00
"Venezuela, RB",VEN,2019,0.00
"Venezuela, RB",VEN,2020,0.00
"Venezuela, RB",VEN,2021,0.00
South Africa,ZAF,1990,126048148263.10
South Africa,ZAF,2000,151753369491.92
South Africa,ZAF,2012,434400545085.81
South Africa,ZAF,2013,400886013595.57
South Africa,ZAF,2014,381198869776.11
South Africa,ZAF,2015,346709790458.56
South Africa,ZAF,2016,323585509674.48
South Africa,ZAF,2017,381448814653.46
South Africa,ZAF,2018,404159690890.85
South Africa,ZAF,2019,388531954110.60
South Africa,ZAF,2020,337619680138.49
South Africa,ZAF,2021,419015018371.89
